"","Subject","Age","Gender","Date","TrialNumber","Mesh","Function","Name","Name_learnt","Task","SuccessTask","RTMovement","RTGrasping","RTAction","TrialBlock","RTMovementGrasping","RTGraspingAction","RTMovement.c","RTMovement.z","RTGrasping.c","RTGrasping.z","RTAction.c","RTAction.z","RTMovementGrasping.c","RTMovementGrasping.z","RTGraspingAction.c","RTGraspingAction.z"
"56",25,20,"Female",12102018,3,"controllerRenderer_B","VANISHING","NoName2","No","MOVE","True",0.4555556,2.06667,2.166669,1,1.611,0.1,-0.064,-0.291,0.388,0.618,-0.494,-0.225,0.452,0.746,-0.882,-0.456
"57",26,18,"Female",15102018,3,"controllerRenderer_A","VANISHING","NoName3","No","USE","True",0.2666667,2.333334,3.399992,1,2.067,1.067,-0.253,-1.149,0.655,1.043,0.74,0.338,0.908,1.497,0.085,0.044
"58",27,19,"Female",15102018,3,"controllerRenderer_I","CREATING","UNT","Yes","USE","True",0.5555557,2.955552,4.877777,1,2.4,1.922,0.036,0.163,1.277,2.034,2.217,1.012,1.241,2.046,0.94,0.486
"59",29,21,"Female",17102018,3,"controllerRenderer_C","BLACKHOLE","LUM","Yes","MOVE","True",0.6111114,1.688892,1.888893,1,1.078,0.2,0.092,0.416,0.01,0.017,-0.771,-0.352,-0.082,-0.133,-0.781,-0.405
"60",32,20,"Female",19102018,3,"controllerRenderer_B","ANTIGRAVITY","NoName3","No","MOVE","True",0.6222225,1.700003,2.144447,1,1.078,0.444,0.103,0.466,0.022,0.034,-0.516,-0.236,-0.081,-0.133,-0.538,-0.278
"61",33,17,"Female",19102018,3,"controllerRenderer_E","ANTIGRAVITY","SNI","Yes","USE","True",0.4555556,3.177772,4.277769,1,2.722,1.1,-0.064,-0.291,1.499,2.388,1.617,0.738,1.563,2.577,0.118,0.061
"62",35,19,"Female",6112018,3,"controllerRenderer_C","ANTIGRAVITY","NoName1","No","MOVE","True",0.5,1.455558,1.533336,1,0.956,0.078,-0.02,-0.089,-0.223,-0.355,-1.127,-0.514,-0.203,-0.334,-0.904,-0.468
"63",36,20,"Female",6112018,3,"controllerRenderer_B","ANTIGRAVITY","LUM","Yes","MOVE","True",0.6000003,2.83333,2.93333,1,2.233,0.1,0.08,0.365,1.155,1.839,0.273,0.125,1.075,1.771,-0.882,-0.456
"64",37,21,"Female",7112018,3,"controllerRenderer_E","BLACKHOLE","LUM","Yes","USE","True",0.4,2.166669,5.633343,1,1.767,3.467,-0.12,-0.543,0.488,0.778,2.973,1.357,0.608,1.003,2.485,1.286
"65",38,20,"Male",7112018,3,"controllerRenderer_C","VANISHING","UNT","Yes","MOVE","True",0.4444444,1.877781,1.944448,1,1.433,0.067,-0.075,-0.341,0.199,0.318,-0.716,-0.327,0.274,0.452,-0.915,-0.473
"66",39,20,"Female",8112018,3,"controllerRenderer_C","BLACKHOLE","LUM","Yes","MOVE","True",0.4222222,2.188891,2.355556,1,1.767,0.167,-0.097,-0.442,0.51,0.813,-0.305,-0.139,0.607,1.003,-0.815,-0.422
"67",40,19,"Male",8112018,3,"controllerRenderer_G","VANISHING","SNI","Yes","MOVE","True",0.7000005,3.277771,4.444438,1,2.578,1.167,0.18,0.819,1.599,2.547,1.784,0.814,1.419,2.34,0.185,0.096
"68",1,25,"Female",19092018,4,"controllerRenderer_A","VANISHING","NoName2","No","MOVE","True",0.5555557,1.100002,1.100002,1,0.544,0,0.036,0.163,-0.578,-0.921,-1.56,-0.712,-0.614,-1.014,-0.982,-0.508
"69",3,19,"Male",24092018,4,"controllerRenderer_I","SNOWING","NoName2","No","MOVE","True",0.7222228,2.200002,2.255557,1,1.478,0.056,0.203,0.92,0.522,0.831,-0.405,-0.185,0.319,0.526,-0.927,-0.479
"70",4,19,"Female",25092018,4,"controllerRenderer_I","ANTIGRAVITY","SNI","Yes","MOVE","True",0.8000008,1.644447,1.644447,1,0.844,0,0.28,1.274,-0.034,-0.054,-1.016,-0.464,-0.314,-0.519,-0.982,-0.508
"71",10,19,"Female",2102018,4,"controllerRenderer_E","ANTIGRAVITY","LUM","Yes","USE","True",0.6111114,2.28889,3.577769,1,1.678,1.289,0.092,0.416,0.61,0.972,0.917,0.419,0.518,0.856,0.307,0.159
